tconst	averageRating	numVotes
tt0068646	9.2	1589382
tt0071562	9.0	1110497
tt0076759	8.6	1213693
tt0080684	8.7	1141922
tt0088763	8.5	1039472
tt0099685	8.7	1002542
tt0102926	8.6	1249066
tt0108052	8.9	1194997
tt0109830	8.8	1774766
tt0110413	8.5	1018264
tt0110912	8.9	1797778
tt0111161	9.3	2302880
tt0114369	8.6	1418698
tt0120338	7.8	1031048
tt0120586	8.5	1022184
tt0120689	8.6	1125911
tt0120737	8.8	1634068
tt0120815	8.6	1215948
tt0133093	8.7	1648439
tt0137523	8.8	1825109
tt0167260	8.9	1618238
tt0167261	8.7	1462737
tt0169547	8.3	1056939
tt0172495	8.5	1320457
tt0209144	8.4	1109830
tt0325980	8.0	1006466
tt0361748	8.3	1243651
tt0372784	8.2	1290226
tt0407887	8.5	1170751
tt0434409	8.2	1018832
tt0468569	9.0	2266480
tt0482571	8.5	1168632
tt0499549	7.8	1107783
tt0816692	8.6	1474350
tt0848228	8.0	1248382
tt0903747	9.5	1413022
tt0944947	9.3	1723214
tt0993846	8.2	1156970
tt1130884	8.2	1108918
tt1345836	8.4	1494767
tt1375666	8.8	2028574
tt1853728	8.4	1332712
tt2015381	8.0	1030734
